FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,VintagePrice,VintageRatingPriceRatio,Age
Lismore Chardonnay 2016,Lismore,Chardonnay,2016,South African,Chardonnay,4.2,98,23.41,0.179410508,5
Cederberg Five Generations Chenin Blanc 2016,Cederberg,Five Generations Chenin Blanc,2016,South African,Chenin Blanc,4.2,98,25.45,0.16502947,5
Domaines Schlumberger Gewürztraminer Alsace Grand Cru 'Kessler' 2015,Domaines Schlumberger,Gewürztraminer Alsace Grand Cru 'Kessler',2015,Alsace,Gewürztraminer,4.2,78,23.45,0.179104478,6
Guillot-Broux Mâcon-Cruzille 'Les Genièvrières' 2017,Guillot-Broux,Mâcon-Cruzille 'Les Genièvrières',2017,Burgundy,Macônnais White,4.2,76,29.3,0.14334471,4
Marimar Estate Don Miguel Vineyard Acero Unoaked Chardonnay 2017,Marimar Estate,Don Miguel Vineyard Acero Unoaked Chardonnay,2017,Californian,Chardonnay,4.2,72,29.99,0.140046682,4
Moreau-Naudet Chablis 1er Cru 'Montmains' 2016,Moreau-Naudet,Chablis 1er Cru 'Montmains',2016,Burgundy,Chablis,4.2,71,28,0.15,5
Amisfield Pinot Gris 2017,Amisfield,Pinot Gris,2017,New Zealand,Pinot Gris,4.2,71,28.45,0.147627417,4
Vincent Careme Vouvray 'Le Peu Morier' 2016,Vincent Careme,Vouvray 'Le Peu Morier',2016,Loire,Chenin Blanc,4.2,67,28.33,0.148252736,5
Santadi Villa Di Chiesa Valli di Porto Pino 2017,Santadi,Villa Di Chiesa Valli di Porto Pino,2017,Southern Italy,White,4.2,64,27.78,0.151187905,4
Chamonix Reserve Chardonnay 2014,Chamonix,Reserve Chardonnay,2014,South African,Chardonnay,4.2,62,23.7,0.17721519,7
Oliver Zeter Fumé Sauvignon Blanc 2018,Oliver Zeter,Fumé Sauvignon Blanc,2018,German,Sauvignon Blanc,4.2,60,23.95,0.175365344,3
Cave de Turckheim Gewürztraminer Alsace Grand Cru Brand 2013,Cave de Turckheim,Gewürztraminer Alsace Grand Cru Brand,2013,Alsace,Gewürztraminer,4.2,55,20.39,0.205983325,8
Kleine Zalze Family Reserve Chenin Blanc 2014,Kleine Zalze,Family Reserve Chenin Blanc,2014,South African,Chenin Blanc,4.2,51,24.99,0.168067227,7
Dahu Blanc 2017,Dahu,Blanc,2017,,,4.2,49,22.5,0.186666667,4
Flametree S.R.S Wallcliffe Chardonnay 2016,Flametree,S.R.S Wallcliffe Chardonnay,2016,Australian,Chardonnay,4.2,49,29,0.144827586,5
Abel Mendoza Monge Viura 2017,Abel Mendoza Monge,Viura,2017,Spanish,Rioja White,4.2,49,26,0.161538462,4
Coume del Mas Folio Collioure 2018,Coume del Mas,Folio Collioure,2018,Languedoc-Roussillon,White,4.2,49,22.5,0.186666667,3
Domaine du Clos Salomon Montagny Le Clou 2017,Domaine du Clos Salomon,Montagny Le Clou,2017,Burgundy,Côte Chalonnaise White,4.2,42,26,0.161538462,4
Stella Bella Suckfizzle Sauvignon Blanc - Sémillon 2014,Stella Bella,Suckfizzle Sauvignon Blanc - Sémillon,2014,,,4.2,39,27.9,0.150537634,7
Dalrymple Cave Block Chardonnay 2015,Dalrymple,Cave Block Chardonnay,2015,Australian,Chardonnay,4.2,38,22.99,0.182688125,6
Château Lapuyade Cuvée Dentelle Jurançon Sec 2015,Château Lapuyade,Cuvée Dentelle Jurançon Sec,2015,,,4.2,37,21.99,0.190995907,6
Mchenry Hohnen Burnside Vineyard Chardonnay 2015,Mchenry Hohnen,Burnside Vineyard Chardonnay,2015,Australian,Chardonnay,4.2,36,23.95,0.175365344,6
Ottella Back to Silence 2018,Ottella,Back to Silence,2018,Northern Italy,White,4.2,36,24.6,0.170731707,3
David Franz Long Gully Road Sémillon 2017,David Franz,Long Gully Road Sémillon,2017,,,4.2,35,24.5,0.171428571,4
Lueria Gewurztraminer 2016,Lueria,Gewurztraminer,2016,,,4.2,34,23.95,0.175365344,5
Domaine Gérard Thomas Saint-Aubin 'Champ Tirant' 2017,Domaine Gérard Thomas,Saint-Aubin 'Champ Tirant',2017,Burgundy,Côte de Beaune White,4.2,34,26,0.161538462,4
Bonterra The Roost Blue Heron Vineyards Chardonnay 2016,Bonterra,The Roost Blue Heron Vineyards Chardonnay,2016,Californian,Chardonnay,4.2,32,28.16,0.149147727,5
Man O' War Valhalla 2018,Man O' War,Valhalla,2018,New Zealand,Chardonnay,4.2,32,27.18,0.154525386,3
Ata Rangi Lismore Pinot Gris 2018,Ata Rangi,Lismore Pinot Gris,2018,New Zealand,Pinot Gris,4.2,30,27.99,0.150053591,3
Bret Brothers & The Soufrandière La Soufrandière Climat Les Longeays Pouilly-Vinzelles 2015,Bret Brothers & The Soufrandière,La Soufrandière Climat Les Longeays Pouilly-Vinzelles,2015,Burgundy,Macônnais White,4.2,30,28.45,0.147627417,6
Quara Torrontes Single Vineyard 2017,Quara,Torrontes Single Vineyard,2017,Argentinian,Torrontes,4.2,28,21.95,0.191343964,4
Yeringberg Viognier 2015,Yeringberg,Viognier,2015,Australian,Viognier,4.2,28,21.5,0.195348837,6
Nautilus The Paper Nautilus Sauvignon Blanc 2017,Nautilus,The Paper Nautilus Sauvignon Blanc,2017,New Zealand,Sauvignon Blanc,4.2,27,22.55,0.186252772,4
Rupert & Rothschild Baroness Nadine 2016,Rupert & Rothschild,Baroness Nadine,2016,South African,Chardonnay,4.1,620,24.99,0.164065626,5
Cloudy Bay Sauvignon Blanc 2018,Cloudy Bay,Sauvignon Blanc,2018,New Zealand,Sauvignon Blanc,4.1,3403,22.95,0.178649237,3
Pascal Jolivet Sancerre Blanc 2017,Pascal Jolivet,Sancerre Blanc,2017,Upper Loire Valley,White,4.1,1326,22.95,0.178649237,4
La Scolca Gavi dei Gavi (Black label) 2017,La Scolca,Gavi dei Gavi (Black label),2017,Italian,Gavi,4.1,749,42.04,0.097526166,4
Cloudy Bay Sauvignon Blanc 2019,Cloudy Bay,Sauvignon Blanc,2019,New Zealand,Sauvignon Blanc,4.1,731,22,0.186363636,2
Niepoort Douro Redoma Branco 2017,Niepoort,Douro Redoma Branco,2017,Northern Portugal,White,4.1,703,22.5,0.182222222,4
Greywacke Wild Sauvignon 2016,Greywacke,Wild Sauvignon,2016,New Zealand,Sauvignon Blanc,4.1,699,22.95,0.178649237,5
Santiago Ruiz Albariño (O Rosal) 2018,Santiago Ruiz,Albariño (O Rosal),2018,Spanish,Albariño,4.1,689,23.7,0.172995781,3
Cà dei Frati I Frati Lugana 2017,Cà dei Frati,I Frati Lugana,2017,Northern Italy,White,4.1,4228,26.04,0.157450077,4
Marqués de Murrieta Capellanía 2014,Marqués de Murrieta,Capellanía,2014,Spanish,Rioja White,4.1,605,22.95,0.178649237,7
Rafael Palacios Louro Godello 2018,Rafael Palacios,Louro Godello,2018,,,4.1,523,20.45,0.200488998,3
Markus Molitor Mosel Alte Reben Riesling 2015,Markus Molitor,Mosel Alte Reben Riesling,2015,German,Riesling,4.1,520,25.24,0.162440571,6
Ktima Biblia Chora (Κτημα Βιβλια Χωρα) White 2017,Ktima Biblia Chora (Κτημα Βιβλια Χωρα),White,2017,,,4.1,504,21,0.195238095,4
Comte Lafond Sancerre Blanc 2017,Comte Lafond,Sancerre Blanc,2017,Upper Loire Valley,White,4.1,428,29.95,0.136894825,4
Saint Clair Wairau Reserve Sauvignon Blanc 2017,Saint Clair,Wairau Reserve Sauvignon Blanc,2017,New Zealand,Sauvignon Blanc,4.1,407,21.9,0.187214612,4
Antinori Castello della Sala Conte della Vipera 2018,Antinori,Castello della Sala Conte della Vipera,2018,Central Italy,White,4.1,404,25,0.164,3
Venica & Venica Ronco del Cerò Sauvignon 2016,Venica & Venica,Ronco del Cerò Sauvignon,2016,Northern Italy,White,4.1,402,28.99,0.141428079,5
Pascal Jolivet Pouilly-Fumé 2018,Pascal Jolivet,Pouilly-Fumé,2018,Upper Loire Valley,White,4.1,388,20.28,0.202169625,3
Domaine William Fèvre Chablis Premier Cru Vaillons 2017,Domaine William Fèvre,Chablis Premier Cru Vaillons,2017,Burgundy,Chablis,4.1,359,29.95,0.136894825,4
Stag's Leap Wine Cellars AVETA Sauvignon Blanc 2017,Stag's Leap Wine Cellars,AVETA Sauvignon Blanc,2017,Californian,Sauvignon Blanc,4.1,357,27.47,0.149253731,4
Crystallum The Agnes Chardonnay 2017,Crystallum,The Agnes Chardonnay,2017,South African,Chardonnay,4.1,301,25,0.164,4
Waterford Estate Single Vineyard Chardonnay 2016,Waterford Estate,Single Vineyard Chardonnay,2016,South African,Chardonnay,4.1,291,21.99,0.186448386,5
Tokara Director's Reserve White 2014,Tokara,Director's Reserve White,2014,,,4.1,279,27.49,0.149145144,7
Dönnhoff Oberhäuser Leistenberg Riesling Kabinett 2015,Dönnhoff,Oberhäuser Leistenberg Riesling Kabinett,2015,German,Riesling,4.1,247,20.85,0.196642686,6
