FullName,Winery,WineName,Year,Region,RegionalVariety,WineRating,WineRatingCount,WinePrice,WineRatingPriceRatio
Dr. Von Bassermann-Jordan Jesuitengarten Riesling GG 2013,Dr. Von Bassermann-Jordan,Jesuitengarten Riesling GG,2013,German,Riesling,4.2,459,46.63,0.09007077
Abbatucci Général de la Révolution (Cuvée Collection) 2014,Abbatucci,Général de la Révolution (Cuvée Collection),2014,,,4.3,238,42.01,0.102356582
Momento Mori Staring at the Sun 2018,Momento Mori,Staring at the Sun,2018,,,4.3,242,32.95,0.130500759
Chavy-Chouet Meursault Les Charmes 1er Cru 2016,Chavy-Chouet,Meursault Les Charmes 1er Cru,2016,Burgundy,Côte de Beaune White,4.3,330,45,0.095555556
Gilles Morat Bélemnites Pouilly-Fuissé 2015,Gilles Morat,Bélemnites Pouilly-Fuissé,2015,Burgundy,Macônnais White,4.1,234,33,0.124242424
Sadie Family Palladius 2007,Sadie Family,Palladius,2007,,,4.5,1485,39.99,0.112528132
Gérard Boulay Clos de Beaujeu Sancerre 2017,Gérard Boulay,Clos de Beaujeu Sancerre,2017,Upper Loire Valley,White,4,518,34.95,0.114449213
Domaine Bernard Moreau et Fils Chassagne-Montrachet 1er Cru Morgeot 2012,Domaine Bernard Moreau et Fils,Chassagne-Montrachet 1er Cru Morgeot,2012,Burgundy,Côte de Beaune White,4.3,395,49.17,0.087451698
Schloss Johannisberg Silberlack Riesling Trocken GG 2018,Schloss Johannisberg,Silberlack Riesling Trocken GG,2018,German,Riesling,4.2,1610,37.72,0.111346766
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Auslese 2011,Forstmeister Geltz-Zilliken,Saarburger Rausch Riesling Auslese,2011,German,Riesling,4.3,871,40,0.1075
Leitz Rüdesheimer Berg Schlossberg Riesling Alte Reben 2009,Leitz,Rüdesheimer Berg Schlossberg Riesling Alte Reben,2009,German,Riesling,4.1,287,30.63,0.133855697
Eulogio Pomares Maceración Con Pieles 2017,Eulogio Pomares,Maceración Con Pieles,2017,Spanish,Albariño,4.2,268,38.71,0.108499096
Enric Soler Espenyalluchs 2016,Enric Soler,Espenyalluchs,2016,,,4.2,215,32.43,0.129509713
Domaine Bohrmann Meursault 'Clos du Cromin' 2011,Domaine Bohrmann,Meursault 'Clos du Cromin',2011,Burgundy,Côte de Beaune White,4.1,160,35.95,0.114047288
Chavy-Chouet Puligny-Montrachet Les Folatieres 1er Cru 2011,Chavy-Chouet,Puligny-Montrachet Les Folatieres 1er Cru,2011,Burgundy,Côte de Beaune White,4.3,340,36.3,0.1184573
Ratzenberger St. Jost GG 2013,Ratzenberger,St. Jost GG,2013,German,Riesling,4.2,331,31.3,0.134185304
Manincor Le Petit 2015,Manincor,Le Petit,2015,Northern Italy,White,4.3,251,41.17,0.104444984
Gourt de Mautens Vaucluse Blanc 2014,Gourt de Mautens,Vaucluse Blanc,2014,Southern Rhône,White,4.2,165,42.5,0.098823529
Chanin Bien Nacido Vineyard Chardonnay 2013,Chanin,Bien Nacido Vineyard Chardonnay,2013,Californian,Chardonnay,4.3,428,31.25,0.1376
Philippe Bouzereau - Chateau de Citeaux Auxey-Duresses 2017,Philippe Bouzereau - Chateau de Citeaux,Auxey-Duresses,2017,Burgundy,Côte de Beaune White,4.2,122,35.99,0.116699083
Domaine Coffinet-Duvernay Chassagne-Montrachet 1er Cru 'Les Fairendes' 2012,Domaine Coffinet-Duvernay,Chassagne-Montrachet 1er Cru 'Les Fairendes',2012,Burgundy,Côte de Beaune White,4.2,200,40.33,0.104140838
Tomac Amfora 2008,Tomac,Amfora,2008,,,4.2,61,37.11,0.113177041
Paco de Santar Vinha do Contador Dão Branco 2013,Paco de Santar,Vinha do Contador Dão Branco,2013,Northern Portugal,White,4.4,210,34.53,0.127425427
Domaine Alain Chavy Puligny-Montrachet 1er Cru 'Les Clavoillons' 2012,Domaine Alain Chavy,Puligny-Montrachet 1er Cru 'Les Clavoillons',2012,Burgundy,Côte de Beaune White,4.2,266,42.5,0.098823529
Domaine de l'Arlot Cuvée La Gerbotte Nuits-Saint-Georges Blanc 2017,Domaine de l'Arlot,Cuvée La Gerbotte Nuits-Saint-Georges Blanc,2017,Burgundy,White,4,396,36.28,0.110253583
Francois et Antoine Jobard Meursault 'Les Tillets' 2012,Francois et Antoine Jobard,Meursault 'Les Tillets',2012,Burgundy,Côte de Beaune White,4.2,483,39.5,0.106329114
